video,offset,abs_offset,num_segs,conf,mu,sigma,mu_var,sigma_var,abs_mu
972,-301.0,301.0,32.0,130889.90962949973,-294.8142663702009,616.3158407412151,0.0024792510027685627,0.0016528339810469926,294.8142663702009
475,-300.0,300.0,32.0,22393.462318483307,-273.432497552334,649.9294740474674,0.013741764985011888,0.009161176978806912,273.432497552334
84,-296.0,296.0,32.0,17711.72664143614,-256.3666432960587,690.9803667337673,0.01634193155512004,0.010894621030306471,256.3666432960587
1061,-295.0,295.0,32.0,1788.9450947369853,-152.60772090759914,781.7310257213197,0.14301303893272901,0.09534202942745323,152.60772090759914
549,-292.0,292.0,32.0,12410.419306872147,-246.246809480238,657.6651261359514,0.024504098373927738,0.016336066338792393,246.246809480238
250,-287.0,287.0,32.0,6120.838159569988,-228.24429263610986,662.5510371861271,0.049317353251759635,0.03287823634278261,228.24429263610986
335,-287.0,287.0,32.0,12799.028425606291,-252.15357166682006,643.2385452201611,0.024292987741553595,0.016195325600734733,252.15357166682006
374,-285.0,285.0,32.0,96227.70740364295,-270.3824999496773,625.2778813575998,0.003323967665904439,0.0022159784088491346,270.3824999496773
1175,-283.0,283.0,32.0,6719.282435387768,-226.8046183246578,722.8993780662003,0.04117458666300526,0.02744972480326998,226.8046183246578
416,-278.0,278.0,32.0,27392.970008703018,-248.0204692151741,656.6211021653179,0.011119263904468202,0.007412842669641947,248.0204692151741
123,-276.0,276.0,32.0,17907.257483366997,-237.6880197691729,663.6635714084682,0.01682879180324823,0.011219194660361548,237.6880197691729
1148,-276.0,276.0,32.0,44236.53092638296,-303.5925881636101,696.7070066726752,0.006489313502111274,0.004326209177719501,303.5925881636101
268,-275.0,275.0,32.0,2357.0386497547447,-180.92351035882157,682.23387897011,0.12437411672610668,0.08291608287896139,180.92351035882157
204,-272.0,272.0,32.0,17924.997207357195,-233.22682282511306,677.2763187454334,0.016474225578620126,0.010982817304369416,233.22682282511306
631,-272.0,272.0,32.0,10172.47192128912,-227.3225200155968,664.2310619121461,0.029599495910837367,0.01973299735779535,227.3225200155968
329,-270.0,270.0,32.0,22466.224922840396,-234.74406055754187,650.7977820157226,0.013678983603047088,0.009119322885437426,234.74406055754187
898,-268.0,268.0,32.0,5562.201944411995,-220.36413444909974,703.8629439189332,0.05108520511615721,0.034056804788842716,220.36413444909974
628,-267.0,267.0,32.0,4310.811384952759,-178.7552637606353,701.7153369567875,0.0661165229023483,0.04407768293932175,178.7552637606353
152,-266.0,266.0,32.0,9177.245050604763,-230.6468321474524,622.7060509346454,0.03499730331127129,0.0233315357850118,230.6468321474524
968,-266.0,266.0,32.0,31206.113372731586,-233.5061224460113,653.6446351728481,0.009805022907885173,0.006536682076791449,233.5061224460113
312,-263.0,263.0,32.0,9337.253490062922,-220.4262893235084,641.728827309043,0.0333779221626474,0.02225194802360642,220.4262893235084
